skill_name,scale_id,value,ai_substitution_rate,half_life_years,extinction_risk_5yr
Reading Comprehension,IM,4.12,0.4,10.0,64.0
Reading Comprehension,LV,4.62,0.4,10.0,64.0
Active Listening,IM,4.0,0.4,10.0,64.0
Active Listening,LV,4.75,0.4,10.0,64.0
Writing,IM,4.12,0.4,10.0,64.0
Writing,LV,4.38,0.4,10.0,64.0
Speaking,IM,4.25,0.4,10.0,64.0
Speaking,LV,4.75,0.4,10.0,64.0
Mathematics,IM,3.25,0.4,10.0,64.0
Mathematics,LV,3.5,0.4,10.0,64.0
Science,IM,1.62,0.4,10.0,64.0
Science,LV,0.75,0.4,10.0,64.0
Critical Thinking,IM,4.38,0.4,10.0,64.0
Critical Thinking,LV,4.75,0.4,10.0,64.0
Active Learning,IM,3.75,0.4,10.0,64.0
Active Learning,LV,4.5,0.4,10.0,64.0
Learning Strategies,IM,3.12,0.4,10.0,64.0
Learning Strategies,LV,3.75,0.4,10.0,64.0
Monitoring,IM,4.0,0.8,6.2,88.0
Monitoring,LV,5.25,0.8,6.2,88.0
Social Perceptiveness,IM,4.12,0.4,10.0,64.0
Social Perceptiveness,LV,4.25,0.4,10.0,64.0
Coordination,IM,4.25,0.4,10.0,64.0
Coordination,LV,4.88,0.4,10.0,64.0
Persuasion,IM,4.0,0.4,10.0,64.0
Persuasion,LV,4.75,0.4,10.0,64.0
Negotiation,IM,4.12,0.4,10.0,64.0
Negotiation,LV,4.75,0.4,10.0,64.0
Instructing,IM,3.38,0.4,10.0,64.0
Instructing,LV,3.88,0.4,10.0,64.0
Service Orientation,IM,3.12,0.4,10.0,64.0
Service Orientation,LV,3.38,0.4,10.0,64.0
Complex Problem Solving,IM,4.38,0.4,10.0,64.0
Complex Problem Solving,LV,4.88,0.4,10.0,64.0
Operations Analysis,IM,3.12,0.4,10.0,64.0
Operations Analysis,LV,3.88,0.4,10.0,64.0
Technology Design,IM,1.75,0.4,10.0,64.0
Technology Design,LV,0.88,0.4,10.0,64.0
Equipment Selection,IM,1.12,0.4,10.0,64.0
Equipment Selection,LV,0.25,0.4,10.0,64.0
Installation,IM,1.0,0.4,10.0,64.0
Installation,LV,0.0,0.4,10.0,64.0
